代码,名称,最新价,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%)
002167,东方锆业,15.39,16.77,335181900.0,2.96,622774419.0,5.49,-287592519.0,-2.54,-319658101.0,-2.82,-15523800.0,-0.14
300322,硕贝德,28.32,10.15,325416210.0,3.84,335262521.0,3.95,-9846311.0,-0.12,-141964257.0,-1.67,-183451967.0,-2.16
300331,苏大维格,48.0,8.3,322365794.0,4.44,143266773.0,1.97,179099021.0,2.47,-86046520.0,-1.18,-236319286.0,-3.25
002126,银轮股份,51.28,11.58,314324167.0,2.2,-62469332.0,-0.44,376793499.0,2.64,47498048.0,0.33,-361822176.0,-2.53
601939,建设银行,8.94,-0.22,311253819.0,3.23,624342690.0,6.48,-313088871.0,-3.25,-210464208.0,-2.18,-100789589.0,-1.05
300317,珈伟新能,6.0,34.83,309986012.0,4.33,177651195.0,2.48,132334817.0,1.85,-65175770.0,-0.91,-244810196.0,-3.42
688028,沃尔德,119.6,38.59,302296598.0,2.73,186570305.0,1.68,115726293.0,1.04,63813438.0,0.58,-366110003.0,-3.3
688702,盛科通信-U,194.0,31.95,301610598.0,1.52,-218951818.0,-1.1,520562416.0,2.62,12525920.0,0.06,-314136492.0,-1.58
688025,杰普特,272.32,26.3,297407999.0,1.69,563765574.0,3.2,-266357575.0,-1.51,-301647125.0,-1.71,4239134.0,0.02
300604,长川科技,130.85,1.51,295440497.0,0.9,31366625.0,0.1,264073872.0,0.8,-321490848.0,-0.98,26050288.0,0.08
600172,黄河旋风,9.9,24.53,294936962.0,1.42,502312476.0,2.42,-207375514.0,-1.0,-124955156.0,-0.6,-169981787.0,-0.82
002518,科士达,56.24,10.86,293380781.0,4.45,249645693.0,3.79,43735088.0,0.66,-58141633.0,-0.88,-235239132.0,-3.57
601838,成都银行,16.83,1.75,292883167.0,6.08,-40110557.0,-0.83,332993724.0,6.91,-81468973.0,-1.69,-211414188.0,-4.39
300423,昇辉科技,11.58,24.25,292450313.0,6.14,291008857.0,6.11,1441456.0,0.03,-98479254.0,-2.07,-193971055.0,-4.07
000703,恒逸石化,13.09,-1.58,287241018.0,4.79,168274170.0,2.81,118966848.0,1.98,-201026496.0,-3.35,-86214523.0,-1.44
000969,安泰科技,24.6,4.02,286003634.0,2.15,54405953.0,0.41,231597681.0,1.74,298953753.0,2.25,-584957449.0,-4.4
000727,冠捷科技,2.73,4.6,285668552.0,12.33,347964732.0,15.02,-62296180.0,-2.69,-149025190.0,-6.43,-136643363.0,-5.9
002364,中恒电气,32.82,3.24,284661422.0,2.13,323827684.0,2.43,-39166262.0,-0.29,-366224064.0,-2.74,81562664.0,0.61
600595,中孚实业,9.18,9.55,282608051.0,3.39,57935117.0,0.69,224672934.0,2.69,-95626338.0,-1.15,-186981713.0,-2.24
002929,润建股份,49.68,2.12,282408025.0,2.75,264031100.0,2.57,18376925.0,0.18,-213220813.0,-2.08,-69187237.0,-0.67
688012,中微公司,340.49,-1.84,281974505.0,0.77,121704457.0,0.33,160270048.0,0.44,-154215872.0,-0.42,-127758598.0,-0.35
601898,中煤能源,17.53,20.56,278596789.0,2.59,-68401737.0,-0.64,346998526.0,3.23,269559212.0,2.51,-548155984.0,-5.1
