代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),今日主力净流入最大股,最大股代码,最大股市场标识
BK1044,生物制品,1036.59,0.78,30085552.0,0.38,-29123632.0,-0.37,59209184.0,0.75,57184016.0,0.72,-74524096.0,-0.94,万泽股份,000534,0
BK1266,文娱用品,3819.24,1.19,28253166.0,1.15,16954414.0,0.69,11298752.0,0.46,50363936.0,2.06,-78617088.0,-3.21,实丰文化,002862,0
BK1275,油服工程,2813.26,-6.36,27967344.0,0.09,-121598608.0,-0.41,149565952.0,0.5,457268736.0,1.54,-506183424.0,-1.71,中曼石油,603619,1
BK0726,工程咨询服务Ⅱ,884.09,0.51,25084416.0,0.46,-10640576.0,-0.2,35724992.0,0.66,-19138896.0,-0.35,-5253456.0,-0.1,太极实业,600667,1
BK1263,摩托车及其他,3912.4,0.91,18500330.0,0.87,-24500022.0,-1.16,43000352.0,2.03,86316992.0,4.08,-99118480.0,-4.69,春风动力,603129,1
BK0484,贸易Ⅱ,11825.46,1.48,17512875.0,0.94,26661835.0,1.43,-9148960.0,-0.49,13598624.0,0.73,-31111520.0,-1.67,怡 亚 通,002183,0
BK1244,小家电,2464.74,1.74,17447306.0,0.94,-4179046.0,-0.23,21626352.0,1.17,-7235568.0,-0.39,6486752.0,0.35,莱克电气,603355,1
BK0739,工程机械,2499.17,1.45,15619984.0,0.18,127748272.0,1.45,-112128288.0,-1.27,181364528.0,2.05,-217664592.0,-2.46,徐工机械,000425,0
BK1278,调味发酵品Ⅱ,4797.14,0.15,9108472.0,0.41,16435816.0,0.75,-7327344.0,-0.33,14580720.0,0.66,-38364064.0,-1.75,安琪酵母,600298,1
BK1271,酒店餐饮,2601.75,0.34,7227432.0,0.81,-12956010.0,-1.46,20183442.0,2.27,1381434.0,0.16,-8608864.0,-0.97,锦江酒店,600754,1
BK1018,橡胶,1764.17,1.03,5903632.0,0.17,-14954976.0,-0.42,20858608.0,0.58,-24893280.0,-0.7,6141600.0,0.17,科创新源,300731,0
BK0471,化学纤维,19258.87,0.37,5264464.0,0.12,-14288288.0,-0.34,19552752.0,0.46,-38748528.0,-0.91,29026816.0,0.68,双欣材料,001369,0
BK1045,房地产服务,1294.63,1.06,2956569.0,0.23,-29402727.0,-2.3,32359296.0,2.53,13855280.0,1.08,-16811856.0,-1.31,皇庭国际,000056,0
BK0451,房地产开发,14952.93,0.88,-134000.0,0.0,116953136.0,0.95,-117087136.0,-0.95,-18806752.0,-0.15,18940768.0,0.15,西藏城投,600773,1
BK1043,专业服务,1584.87,1.58,-7691048.0,-0.18,-15615032.0,-0.36,7923984.0,0.18,-62869136.0,-1.45,68847216.0,1.58,苏试试验,300416,0
