代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),5日主力净流入最大股,最大股代码,最大股市场标识
BK1252,化妆品,2291.92,-5.4,-243633568.0,-2.5,-192956640.0,-1.98,-50676928.0,-0.52,215918528.0,2.21,20789552.0,0.21,青松股份,300132,0
BK1253,医疗美容,1289.73,-7.11,-342658100.0,-9.54,-160142471.0,-4.46,-182515629.0,-5.08,19390912.0,0.54,170020428.0,4.74,*ST美谷,000615,0
BK1279,非白酒,2188.11,-3.03,-356656259.0,-3.55,-300803693.0,-2.99,-55852566.0,-0.56,162940176.0,1.62,193716112.0,1.93,燕京啤酒,000729,0
BK1256,农产品加工,2569.74,-2.74,-368691649.0,-1.84,-315656641.0,-1.58,-53035008.0,-0.26,253005760.0,1.26,50138432.0,0.25,华资实业,600191,1
BK1280,食品加工,4773.02,-4.14,-379698205.0,-2.67,-55977133.0,-0.39,-323721072.0,-2.27,168093584.0,1.18,178942000.0,1.26,三全食品,002216,0
BK1258,饲料,4020.12,-2.9,-413042770.0,-2.48,-326103298.0,-1.96,-86939472.0,-0.52,226025744.0,1.36,185004528.0,1.11,傲农生物,603363,1
BK1038,光学光电子,2141.96,-0.25,-468971152.0,-0.2,3474361712.0,1.51,-3943332864.0,-1.72,-642900992.0,-0.28,1226627072.0,0.53,聚灿光电,300708,0
BK1281,休闲食品,2308.42,-5.39,-489172063.0,-4.18,-156248623.0,-1.34,-332923440.0,-2.85,-59714224.0,-0.51,548886272.0,4.69,紫燕食品,603057,1
BK1018,橡胶,1764.17,-3.36,-491970777.0,-2.3,-281400809.0,-1.31,-210569968.0,-0.98,86139392.0,0.4,380128896.0,1.77,科创新源,300731,0
BK1234,环保设备Ⅱ,3596.05,-3.32,-493608016.0,-2.01,-312580912.0,-1.27,-181027104.0,-0.74,-56263408.0,-0.23,550407904.0,2.24,盈峰环境,000967,0
BK1278,调味发酵品Ⅱ,4797.14,-3.92,-496441197.0,-3.71,-225062077.0,-1.68,-271379120.0,-2.03,84191840.0,0.63,384341312.0,2.87,安琪酵母,600298,1
BK1224,纺织制造,2804.52,-3.61,-504856011.0,-2.48,-282458683.0,-1.39,-222397328.0,-1.09,84877888.0,0.42,416597744.0,2.04,联发股份,002394,0
BK1043,专业服务,1584.87,-4.33,-509249013.0,-2.15,-388946117.0,-1.64,-120302896.0,-0.51,115027232.0,0.49,340502240.0,1.44,信测标准,300938,0
BK1263,摩托车及其他,3912.4,-5.05,-519017061.0,-3.83,-420753429.0,-3.11,-98263632.0,-0.73,311660432.0,2.3,209931056.0,1.55,永安行,603776,1
BK1261,种植业,2966.17,2.94,-521505760.0,-0.76,139303152.0,0.2,-660808912.0,-0.97,362159488.0,0.53,194695168.0,0.29,农发种业,600313,1
BK0734,饰品,471.95,-4.58,-540662136.0,-2.51,-15359816.0,-0.07,-525302320.0,-2.44,361275312.0,1.68,179386800.0,0.83,曼卡龙,300945,0
BK1270,专业连锁Ⅱ,1585.67,-6.11,-578996901.0,-4.97,-378715269.0,-3.25,-200281632.0,-1.72,226749328.0,1.95,352247584.0,3.02,天音控股,000829,0
BK0484,贸易Ⅱ,11825.46,-5.1,-591128526.0,-5.09,-383987502.0,-3.3,-207141024.0,-1.78,73717264.0,0.63,517411232.0,4.45,苏豪时尚,600287,1
BK0422,物流,8237.21,-1.73,-617349840.0,-1.3,-286111984.0,-0.6,-331237856.0,-0.7,169680112.0,0.36,512743168.0,1.08,申通快递,002468,0
BK1268,互联网电商,2880.77,-5.91,-647573655.0,-5.02,-370558487.0,-2.87,-277015168.0,-2.15,11937424.0,0.09,635636240.0,4.92,吉宏股份,002803,0
BK1244,小家电,2464.74,-5.01,-647909127.0,-5.44,-446685815.0,-3.75,-201223312.0,-1.69,226805216.0,1.9,418368480.0,3.51,莱克电气,603355,1
BK1246,房屋建设Ⅱ,2273.54,-2.12,-704483616.0,-3.4,-612613344.0,-2.95,-91870272.0,-0.44,321579216.0,1.55,382904416.0,1.85,高新发展,000628,0
BK1266,文娱用品,3819.24,-5.47,-716361661.0,-4.6,-381527485.0,-2.45,-334834176.0,-2.15,307797712.0,1.98,408563968.0,2.63,实丰文化,002862,0
BK0726,工程咨询服务Ⅱ,884.09,-4.12,-746455632.0,-2.34,-410995056.0,-1.29,-335460576.0,-1.05,414318720.0,1.3,294147824.0,0.92,华建集团,600629,1
