代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),5日主力净流入最大股,最大股代码,最大股市场标识
BK0475,银行Ⅱ,4080.13,0.81,3850666976.0,2.42,2815300320.0,1.77,1035366656.0,0.65,-2003474176.0,-1.26,-1847192576.0,-1.16,农业银行,601288,1
BK1034,其他电源设备Ⅱ,3301.85,0.08,1425027104.0,0.99,1749374496.0,1.22,-324347392.0,-0.23,-1305508352.0,-0.91,-120007680.0,-0.08,上海电气,601727,1
BK1250,煤炭开采,1810.42,5.6,1244079648.0,1.01,656313376.0,0.53,587766272.0,0.48,-175815680.0,-0.14,-1068264608.0,-0.87,中国神华,601088,1
BK0450,航运港口,12849.25,2.28,1180136000.0,0.72,1009849536.0,0.62,170286464.0,0.1,1637317504.0,1.0,-2234330032.0,-1.37,国航远洋,920571,0
BK1028,燃气Ⅱ,2159.91,8.2,1075250624.0,1.15,1383275568.0,1.49,-308024944.0,-0.33,261914032.0,0.28,-984116096.0,-1.06,大众公用,600635,1
BK1255,林业Ⅱ,5534.93,-1.35,671664416.0,2.2,1485030336.0,4.87,-813365920.0,-2.67,-989456928.0,-3.24,317792528.0,1.04,平潭发展,000592,0
BK1249,焦炭Ⅱ,1005.77,2.9,569456544.0,2.29,293213840.0,1.18,276242704.0,1.11,194119456.0,0.78,-763576064.0,-3.07,山西焦化,600740,1
BK1275,油服工程,2813.26,20.74,142938320.0,0.13,-291268000.0,-0.26,434206320.0,0.39,1623428192.0,1.45,-1467206928.0,-1.31,科力股份,920088,0
BK1019,化学原料,1198.65,0.2,133639616.0,0.08,311227584.0,0.2,-177587968.0,-0.11,352224512.0,0.22,-530081024.0,-0.33,宝丰能源,600989,1
BK1262,乘用车,4977.86,-1.96,126432688.0,0.21,755686960.0,1.23,-629254272.0,-1.02,-1156206064.0,-1.88,1029773120.0,1.67,比亚迪,002594,0
BK1259,养殖业,4032.06,-1.12,1392736.0,0.0,-104334192.0,-0.31,105726928.0,0.32,-194319328.0,-0.58,192926608.0,0.58,圣农发展,002299,0
BK1257,农业综合Ⅱ,2874.41,-0.72,-18967729.0,-0.73,-2987848.0,-0.12,-15979881.0,-0.62,-32090467.0,-1.24,38375494.0,1.48,润农节水,920964,0
BK1271,酒店餐饮,2601.75,-1.98,-65499781.0,-1.11,11997576.0,0.2,-77497357.0,-1.31,747914.0,0.01,64751824.0,1.1,首旅酒店,600258,1
BK1245,照明设备Ⅱ,2822.83,1.91,-80805832.0,-0.66,19934440.0,0.16,-100740272.0,-0.82,97987200.0,0.8,9031360.0,0.07,勤上股份,002638,0
BK0539,综合Ⅱ,14079.08,-3.12,-81870767.0,-0.41,-53745167.0,-0.27,-28125600.0,-0.14,71224048.0,0.36,10646736.0,0.05,粤桂股份,000833,0
BK1045,房地产服务,1294.63,-6.03,-91300229.0,-1.11,-61288453.0,-0.74,-30011776.0,-0.36,160719888.0,1.95,-69419632.0,-0.84,我爱我家,000560,0
BK1228,冶钢原料,4540.51,-0.55,-102583840.0,-0.32,346851936.0,1.08,-449435776.0,-1.4,-283556688.0,-0.88,386140576.0,1.2,方大炭素,600516,1
BK1273,体育Ⅱ,1164.97,-5.38,-103857652.0,-3.18,-123541250.0,-3.78,19683598.0,0.6,117924149.0,3.61,-14066496.0,-0.43,力盛体育,002858,0
BK1251,个护用品,754.47,-5.43,-124316031.0,-1.12,-119137887.0,-1.07,-5178144.0,-0.05,25870640.0,0.23,98445392.0,0.89,延江股份,300658,0
BK0421,铁路公路,9091.26,-1.23,-132024912.0,-0.44,339658864.0,1.14,-471683776.0,-1.58,-295299296.0,-0.99,427324240.0,1.44,京沪高铁,601816,1
BK1240,厨卫电器,6891.35,-1.73,-161093864.0,-2.29,-24548132.0,-0.35,-136545732.0,-1.94,96916608.0,1.38,64177216.0,0.91,亿田智能,300911,0
BK1016,汽车服务,1049.06,-5.27,-164846662.0,-3.66,-143947955.0,-3.19,-20898707.0,-0.46,85772871.0,1.9,71020352.0,1.58,国机汽车,600335,1
BK1243,其他家电Ⅱ,1387.34,-7.79,-172578954.0,-11.32,-97349192.0,-6.38,-75229762.0,-4.93,34256793.0,2.25,138322161.0,9.07,融捷健康,300247,0
BK1260,渔业,1185.58,-3.65,-183523479.0,-2.92,-78121412.0,-1.24,-105402067.0,-1.68,143345024.0,2.28,40178448.0,0.64,中  鲁Ｂ,200992,0
BK0740,教育,706.71,-3.34,-215982284.0,-1.4,-121068028.0,-0.79,-94914256.0,-0.62,13167552.0,0.09,202814736.0,1.32,中公教育,002607,0
BK1020,非金属材料Ⅱ,2100.22,0.13,-225398156.0,-1.07,-46303324.0,-0.22,-179094832.0,-0.85,-129011744.0,-0.61,311889424.0,1.48,坤彩科技,603826,1
