代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),10日主力净流入最大股,最大股代码,最大股市场标识
BK0948,MicroLED,1416.08,8.22,2721109152.0,1.36,5097335008.0,2.55,-2376225856.0,-1.19,-1578178592.0,-0.79,-1142931024.0,-0.57,聚飞光电,300303,0
BK0902,MiniLED,2545.93,6.5,2671104256.0,0.53,7468466688.0,1.47,-4797362432.0,-0.94,-5083197952.0,-1.0,2412094976.0,0.48,东山精密,002384,0
BK1175,玻璃基板,2294.17,11.06,2657977008.0,0.73,3836845488.0,1.06,-1178868480.0,-0.33,-2255627008.0,-0.62,-450815744.0,-0.12,华工科技,000988,0
BK1087,超超临界发电,1707.48,9.4,2121112864.0,0.5,5728195104.0,1.36,-3607082240.0,-0.86,-4780750592.0,-1.14,2659636992.0,0.63,特变电工,600089,1
BK0918,特高压,3181.31,11.29,1075241472.0,0.12,7811757312.0,0.9,-6736515840.0,-0.77,-6052984832.0,-0.7,4990428928.0,0.57,中国西电,601179,1
BK1007,植物照明,1297.9,4.93,990638128.0,1.34,2609714320.0,3.54,-1619076192.0,-2.2,-793398640.0,-1.08,-197239472.0,-0.27,聚飞光电,300303,0
BK1057,电子纸概念,1240.5,2.68,809580304.0,1.0,1305817504.0,1.61,-496237200.0,-0.61,-1105739376.0,-1.36,296158944.0,0.36,京东方Ａ,000725,0
BK0926,湖北自贸,2338.15,2.4,800410848.0,0.26,1501514656.0,0.49,-701103808.0,-0.23,-1279638784.0,-0.42,479228160.0,0.16,华工科技,000988,0
BK1121,第四代半导体,2407.02,4.71,749216608.0,0.95,1301292528.0,1.66,-552075920.0,-0.7,-287656720.0,-0.37,-461559920.0,-0.59,中国西电,601179,1
BK0949,氦气概念,2952.83,12.67,672955120.0,0.57,1850048176.0,1.56,-1177093056.0,-0.99,-277106224.0,-0.23,-395849296.0,-0.33,九丰能源,605090,1
BK1023,培育钻石,2598.34,8.31,473052928.0,0.33,1405989856.0,0.98,-932936928.0,-0.65,-371373984.0,-0.26,-100963888.0,-0.07,四方达,300179,0
BK1053,低价股,1252.47,-1.16,459344448.0,0.15,3298460480.0,1.06,-2839116032.0,-0.91,-3001987840.0,-0.96,2542641408.0,0.82,冠捷科技,000727,0
BK1069,智慧灯杆,1869.77,3.52,385637312.0,0.5,1070039808.0,1.4,-684402496.0,-0.89,-659182800.0,-0.86,265108080.0,0.35,珈伟新能,300317,0
BK0947,屏下摄像,1032.71,1.92,277964304.0,0.25,982984048.0,0.88,-705019744.0,-0.63,-1242505296.0,-1.11,964540848.0,0.86,京东方Ａ,000725,0
BK1065,气溶胶检测,1813.9,0.63,274829808.0,0.56,329402592.0,0.67,-54572784.0,-0.11,-104028256.0,-0.21,-170801520.0,-0.35,京东方Ａ,000725,0
BK1142,裸眼3D,1396.82,0.49,252736384.0,0.21,1314804496.0,1.08,-1062068112.0,-0.88,-891206848.0,-0.74,638470320.0,0.53,京东方Ａ,000725,0
BK0674,蓝宝石,3786.99,2.45,210524960.0,0.07,2521627936.0,0.82,-2311102976.0,-0.75,-1561418496.0,-0.51,1350893568.0,0.44,华工科技,000988,0
BK0951,刀片电池,3219.08,1.8,117043136.0,0.1,1333613840.0,1.19,-1216570704.0,-1.09,-1388219456.0,-1.24,1271175968.0,1.14,比亚迪,002594,0
