代码,名称,最新价,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%)
002594,比亚迪,94.47,5.14,2387937938.0,6.7,2059265554.0,5.78,328672384.0,0.92,-1563585952.0,-4.39,-824351936.0,-2.31
000988,华工科技,106.61,20.4,1482428496.0,2.56,1101408880.0,1.9,381019616.0,0.66,-722435136.0,-1.25,-759993408.0,-1.31
601600,中国铝业,14.79,9.88,1383658848.0,4.37,1132238576.0,3.57,251420272.0,0.79,-191250288.0,-0.6,-1192408560.0,-3.76
601727,上海电气,9.46,3.73,1280821549.0,10.84,1899155661.0,16.08,-618334112.0,-5.23,-901626032.0,-7.63,-379195552.0,-3.21
601288,农业银行,6.74,4.98,1231958432.0,7.43,1385744672.0,8.36,-153786240.0,-0.93,-577166112.0,-3.48,-654792283.0,-3.95
002384,东山精密,92.7,7.93,1105805808.0,2.78,471125920.0,1.18,634679888.0,1.59,-936870688.0,-2.35,-168935104.0,-0.42
000807,云铝股份,35.46,14.42,943904971.0,5.43,379887547.0,2.18,564017424.0,3.24,-236783664.0,-1.36,-707121344.0,-4.06
601088,中国神华,45.88,9.68,930795294.0,6.74,228736707.0,1.66,702058587.0,5.08,-280768960.0,-2.03,-650026337.0,-4.71
600516,方大炭素,6.88,15.44,881037041.0,12.23,737558447.0,10.24,143478594.0,1.99,-269155408.0,-3.74,-611881617.0,-8.49
601179,中国西电,18.11,12.69,859619760.0,3.46,1272617184.0,5.12,-412997424.0,-1.66,-611305616.0,-2.46,-248314192.0,-1.0
002536,飞龙股份,37.01,15.51,845941434.0,6.82,636380714.0,5.13,209560720.0,1.69,-318244496.0,-2.57,-527696933.0,-4.25
600989,宝丰能源,27.19,15.46,781257526.0,2.78,179121942.0,0.64,602135584.0,2.14,-105662528.0,-0.38,-675594994.0,-2.4
002195,岩山科技,10.69,-1.93,723852016.0,2.27,2009490416.0,6.3,-1285638400.0,-4.03,-1444902912.0,-4.53,721050864.0,2.26
000592,平潭发展,12.2,10.41,717488320.0,2.43,1494480144.0,5.06,-776991824.0,-2.63,-951886176.0,-3.23,234397840.0,0.79
300870,欧陆通,293.21,12.54,598132504.0,6.03,177855032.0,1.79,420277472.0,4.23,-208320816.0,-2.1,-389811744.0,-3.93
002272,川润股份,21.01,9.37,589196192.0,3.86,778924592.0,5.1,-189728400.0,-1.24,-402967920.0,-2.64,-186228272.0,-1.22
600900,长江电力,27.08,3.99,567561424.0,2.66,297991952.0,1.4,269569472.0,1.27,-586382480.0,-2.75,18821120.0,0.09
601611,中国核建,16.79,3.77,551966181.0,6.18,559260818.0,6.26,-7294637.0,-0.08,-170089344.0,-1.9,-381876832.0,-4.28
601398,工商银行,7.11,2.16,543960592.0,4.23,779914592.0,6.06,-235954000.0,-1.83,-453205904.0,-3.52,-90754752.0,-0.7
300782,卓胜微,82.77,7.87,502546217.0,8.09,198179860.0,3.19,304366357.0,4.9,-165597968.0,-2.67,-336948235.0,-5.42
600219,南山铝业,7.76,10.38,499628320.0,3.27,504516976.0,3.3,-4888656.0,-0.03,-119544208.0,-0.78,-380084080.0,-2.49
002532,天山铝业,19.19,8.73,489202963.0,5.86,249479832.0,2.99,239723131.0,2.87,-68223716.0,-0.82,-420979258.0,-5.04
002865,钧达股份,87.02,2.99,472823226.0,4.84,581857802.0,5.95,-109034576.0,-1.12,-190392048.0,-1.95,-282431200.0,-2.89
601988,中国银行,5.39,2.28,466676572.0,5.68,290269474.0,3.53,176407098.0,2.15,-252236130.0,-3.07,-214440450.0,-2.61
688568,中科星图,76.8,14.07,463805816.0,3.92,67752600.0,0.57,396053216.0,3.35,-8120800.0,-0.07,-455685021.0,-3.85
603083,剑桥科技,113.18,4.48,458264956.0,2.59,482905228.0,2.73,-24640272.0,-0.14,-290585792.0,-1.64,-167679152.0,-0.95
300708,聚灿光电,12.52,15.39,449543399.0,7.65,616750776.0,10.49,-167207377.0,-2.84,-237162784.0,-4.03,-212380625.0,-3.61
688256,寒武纪-U,1168.0,-0.07,442609712.0,0.88,-417961712.0,-0.84,860571424.0,1.72,-427329630.0,-0.85,-15279657.0,-0.03
002028,思源电气,230.7,1.49,439882001.0,3.26,-51328591.0,-0.38,491210592.0,3.64,-437356560.0,-3.24,-2525440.0,-0.02
002389,航天彩虹,29.3,21.33,437544610.0,2.45,892566806.0,5.0,-455022196.0,-2.55,-364757933.0,-2.04,-72786724.0,-0.41
600595,中孚实业,9.18,9.42,430027668.0,8.24,112303283.0,2.15,317724385.0,6.08,-42590845.0,-0.82,-387436828.0,-7.42
002929,润建股份,49.68,2.71,429651965.0,6.79,315184414.0,4.98,114467551.0,1.81,-157607418.0,-2.49,-272044549.0,-4.3
300072,海新能科,5.88,24.31,428876636.0,11.22,493690007.0,12.92,-64813371.0,-1.7,-150716975.0,-3.94,-278159642.0,-7.28
300303,聚飞光电,12.53,34.73,425694618.0,2.82,656060442.0,4.35,-230365824.0,-1.53,-9228384.0,-0.06,-416466240.0,-2.76
688556,高测股份,15.85,-4.0,424304866.0,7.48,57051567.0,1.01,367253299.0,6.47,28173224.0,0.5,-452478091.0,-7.98
