代码,名称,最新价,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%)
601727,上海电气,9.46,6.05,1785114116.0,21.05,2196857492.0,25.9,-411743376.0,-4.86,-1000969424.0,-11.8,-784144720.0,-9.25
300750,宁德时代,350.25,2.95,1544785728.0,4.65,1032617328.0,3.11,512168400.0,1.54,-916856304.0,-2.76,-627929232.0,-1.89
300502,新易盛,401.24,5.31,1357171760.0,2.26,2121396560.0,3.53,-764224800.0,-1.27,-1222222000.0,-2.03,-134949984.0,-0.22
601179,中国西电,18.11,12.07,1336255968.0,8.34,1607687584.0,10.04,-271431616.0,-1.69,-737311408.0,-4.6,-598944576.0,-3.74
002195,岩山科技,10.69,-0.65,1097075792.0,5.77,2262232496.0,11.9,-1165156704.0,-6.13,-1386256624.0,-7.29,289180816.0,1.52
601288,农业银行,6.74,4.01,1009421328.0,8.09,1180381984.0,9.46,-170960656.0,-1.37,-430392592.0,-3.45,-579028688.0,-4.64
601600,中国铝业,14.79,3.64,944010000.0,4.43,762965264.0,3.58,181044736.0,0.85,-205655632.0,-0.97,-738354368.0,-3.47
000988,华工科技,106.61,12.26,943356304.0,2.29,554187408.0,1.35,389168896.0,0.95,-424541488.0,-1.03,-518814848.0,-1.26
600584,长电科技,48.7,4.13,886458816.0,4.94,653613200.0,3.64,232845616.0,1.3,-310263584.0,-1.73,-576195184.0,-3.21
300303,聚飞光电,12.53,38.3,801350256.0,8.22,886681872.0,9.1,-85331616.0,-0.88,-252031616.0,-2.59,-549318640.0,-5.64
000807,云铝股份,35.46,7.95,746518352.0,6.14,347869648.0,2.86,398648704.0,3.28,-220200400.0,-1.81,-526317968.0,-4.33
601088,中国神华,45.88,2.57,733389120.0,7.8,43714896.0,0.46,689674224.0,7.33,-182533744.0,-1.94,-550855392.0,-5.86
002506,协鑫集成,5.05,7.68,682065552.0,4.13,913125808.0,5.52,-231060256.0,-1.4,-378823728.0,-2.29,-303241810.0,-1.83
002028,思源电气,230.7,3.67,617956209.0,8.11,76529265.0,1.0,541426944.0,7.11,-351605104.0,-4.62,-266351088.0,-3.5
600516,方大炭素,6.88,5.52,603351169.0,13.79,626324735.0,14.31,-22973566.0,-0.53,-249589632.0,-5.7,-353761521.0,-8.08
300708,聚灿光电,12.52,21.32,570536177.0,12.2,660858175.0,14.13,-90321998.0,-1.93,-228290611.0,-4.88,-342245571.0,-7.32
002471,中超控股,9.04,1.35,550931901.0,11.3,762581907.0,15.65,-211650006.0,-4.34,-412836752.0,-8.47,-138095120.0,-2.83
600026,中远海能,24.98,10.34,516054976.0,3.55,339380320.0,2.34,176674656.0,1.22,-168382512.0,-1.16,-347672448.0,-2.39
601919,中远海控,15.78,2.2,505043440.0,2.61,489401408.0,2.53,15642032.0,0.08,35656832.0,0.18,-540700272.0,-2.8
600900,长江电力,27.08,1.92,503475424.0,3.57,274583408.0,1.95,228892016.0,1.62,-413455136.0,-2.93,-90020272.0,-0.64
002929,润建股份,49.68,3.82,493318543.0,9.62,337688863.0,6.58,155629680.0,3.03,-134612176.0,-2.62,-358706368.0,-6.99
600989,宝丰能源,27.19,3.31,478279312.0,2.3,89388160.0,0.43,388891152.0,1.87,-11964912.0,-0.06,-466314384.0,-2.24
601398,工商银行,7.11,2.16,445194976.0,5.18,653765344.0,7.61,-208570368.0,-2.43,-305535136.0,-3.56,-139659872.0,-1.63
000547,航天发展,31.61,-1.19,431226480.0,1.99,1404616080.0,6.5,-973389600.0,-4.5,-933364496.0,-4.32,502138000.0,2.32
600219,南山铝业,7.76,4.72,424357232.0,3.99,364655872.0,3.43,59701360.0,0.56,-134949776.0,-1.27,-289407440.0,-2.72
002498,汉缆股份,8.94,11.89,410224057.0,9.16,694627646.0,15.51,-284403589.0,-6.35,-357672721.0,-7.99,-52551384.0,-1.17
601988,中国银行,5.39,1.51,401250240.0,6.41,211929472.0,3.38,189320768.0,3.02,-187809760.0,-3.0,-213440496.0,-3.41
601611,中国核建,16.79,-1.35,394939228.0,6.64,446450475.0,7.5,-51511247.0,-0.87,-228052400.0,-3.83,-166886816.0,-2.81
300072,海新能科,5.88,19.03,391485324.0,12.65,461534727.0,14.91,-70049403.0,-2.26,-178509891.0,-5.77,-212975414.0,-6.88
600744,华银电力,9.04,13.28,380601728.0,4.22,426864880.0,4.73,-46263152.0,-0.51,-229163056.0,-2.54,-151438640.0,-1.68
300870,欧陆通,293.21,4.96,379432719.0,6.16,101297343.0,1.65,278135376.0,4.52,-88419712.0,-1.44,-291013040.0,-4.73
688205,德科立,179.6,-3.13,373146732.0,6.52,182058860.0,3.18,191087872.0,3.34,-27314736.0,-0.48,-345831984.0,-6.04
600150,中国船舶,38.76,1.65,363127632.0,2.44,70395408.0,0.47,292732224.0,1.96,137857904.0,0.93,-500985536.0,-3.36
600468,百利电气,8.55,9.62,355570030.0,16.43,375715529.0,17.36,-20145499.0,-0.93,-126514498.0,-5.85,-229055533.0,-10.59
600595,中孚实业,9.18,3.61,353185658.0,9.34,94394021.0,2.5,258791637.0,6.85,158964.0,0.0,-353344631.0,-9.35
000425,徐工机械,12.12,-0.16,345642884.0,9.38,186169849.0,5.05,159473035.0,4.33,-185857264.0,-5.04,-159785642.0,-4.34
