代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),5日主力净流入最大股,最大股代码,最大股市场标识
BK0156,河南板块,23825.47,-1.41,-5340199168.0,-1.75,-2558792704.0,-0.84,-2781406464.0,-0.91,-27554048.0,-0.01,5200233984.0,1.7,飞龙股份,002536,0
BK0170,重庆板块,21797.63,-3.69,-5760250128.0,-4.87,-2937265680.0,-2.48,-2822984448.0,-2.38,638906112.0,0.54,5073057280.0,4.29,渝农商行,601077,1
BK0175,内蒙古,29975.64,-1.46,-6245227568.0,-3.03,-6510218288.0,-3.16,264990720.0,0.13,2179625984.0,1.06,4007706368.0,1.94,山金国际,000975,0
BK0166,天津板块,15849.56,-2.43,-6987698176.0,-3.21,-3087581696.0,-1.42,-3900116480.0,-1.79,3587186432.0,1.65,3359707648.0,1.54,百利电气,600468,1
BK0157,湖北板块,22576.21,-2.71,-7152120320.0,-1.58,-2920797184.0,-0.64,-4231323136.0,-0.93,994658816.0,0.22,5983624448.0,1.32,华工科技,000988,0
BK0155,河北板块,19036.62,-2.38,-7588760576.0,-3.61,-3688175360.0,-1.75,-3900585216.0,-1.85,1514725120.0,0.72,5892743680.0,2.8,三孚股份,603938,1
BK0160,江西板块,44870.82,-2.86,-8501449920.0,-3.54,-5347988160.0,-2.23,-3153461760.0,-1.31,2268894208.0,0.95,6211155200.0,2.59,晶科科技,601778,1
BK0165,陕西板块,20578.87,-2.25,-8502808576.0,-2.78,-4156211456.0,-1.36,-4346597120.0,-1.42,3636979200.0,1.19,4614319104.0,1.51,中国西电,601179,1
BK0169,四川板块,29129.82,-2.11,-11453028864.0,-2.17,-5557573632.0,-1.05,-5895455232.0,-1.12,799444224.0,0.15,10562000128.0,2.0,川润股份,002272,0
BK0158,湖南板块,28463.57,-2.82,-12897424896.0,-3.53,-6144566016.0,-1.68,-6752858880.0,-1.85,1454813696.0,0.4,11398096128.0,3.12,航天环宇,688523,1
BK0151,福建板块,28063.24,-2.96,-13973213184.0,-2.55,-2648158208.0,-0.48,-11325054976.0,-2.07,-1080079104.0,-0.2,15597320704.0,2.85,平潭发展,000592,0
BK0149,安徽板块,31422.84,-4.23,-15541387008.0,-4.0,-8883075072.0,-2.29,-6658311936.0,-1.71,2566167296.0,0.66,12697351680.0,3.27,合锻智能,603011,1
BK0164,山东板块,23484.24,-3.05,-17765240576.0,-2.71,-8962161152.0,-1.37,-8803079424.0,-1.34,5632270336.0,0.86,11768999168.0,1.8,南山铝业,600219,1
BK0145,上海板块,24071.79,-4.63,-35232088832.0,-3.3,-16473143296.0,-1.55,-18758945536.0,-1.76,10354810880.0,0.97,24630279168.0,2.31,上海电气,601727,1
BK0159,江苏板块,35225.83,-3.79,-42008057600.0,-2.79,-22197979136.0,-1.47,-19810078464.0,-1.31,6892847104.0,0.46,34567720960.0,2.29,东山精密,002384,0
BK0150,北京板块,10903.34,-3.38,-44233932544.0,-2.67,-22520430336.0,-1.36,-21713502208.0,-1.31,9885810688.0,0.6,33897377792.0,2.05,中国铝业,601600,1
BK0172,浙江板块,31861.15,-4.49,-51999074560.0,-4.23,-27533312256.0,-2.24,-24465762304.0,-1.99,7272937472.0,0.59,44227640576.0,3.6,航天彩虹,002389,0
BK0153,广东板块,45587.38,-4.12,-70143551232.0,-3.29,-36234835712.0,-1.7,-33908715520.0,-1.59,10007191552.0,0.47,59775336448.0,2.8,比亚迪,002594,0
