代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),5日主力净流入最大股,最大股代码,最大股市场标识
BK0162,宁夏板块,10898.34,0.89,689502784.0,1.14,536205808.0,0.89,153296976.0,0.25,-213649520.0,-0.35,-250837360.0,-0.41,宝丰能源,600989,1
BK0154,广西板块,10482.96,-1.83,48929280.0,0.09,201627824.0,0.37,-152698544.0,-0.28,-267606736.0,-0.49,122029248.0,0.22,润建股份,002929,0
BK0167,山西板块,12150.89,-0.36,-777948384.0,-0.7,330446400.0,0.3,-1108394784.0,-1.0,163061248.0,0.15,448226304.0,0.41,山西焦化,600740,1
BK0146,黑龙江,8674.98,-2.92,-1359934016.0,-2.66,-359249184.0,-0.7,-1000684832.0,-1.96,-303233888.0,-0.59,1636253264.0,3.2,奥瑞德,600666,1
BK0148,吉林板块,22751.38,-4.4,-1743205280.0,-3.27,-549261744.0,-1.03,-1193943536.0,-2.24,25124816.0,0.05,1627126960.0,3.05,吉林敖东,000623,0
BK0174,西藏板块,26620.87,-2.26,-1802376496.0,-4.01,-942252208.0,-2.1,-860124288.0,-1.92,152390048.0,0.34,1649986416.0,3.67,易明医药,002826,0
BK0147,新疆板块,24598.31,0.57,-1950106720.0,-0.82,-935610208.0,-0.4,-1014496512.0,-0.43,-818307840.0,-0.35,3067574784.0,1.3,天山铝业,002532,0
BK0163,青海板块,5793.45,-0.55,-2490917024.0,-4.77,-1743005024.0,-3.34,-747912000.0,-1.43,700649584.0,1.34,1790267408.0,3.43,*ST春天,600381,1
BK0176,海南板块,10739.35,-0.61,-2789602416.0,-2.14,-259647600.0,-0.2,-2529954816.0,-1.94,860674048.0,0.66,1928928512.0,1.48,钧达股份,002865,0
BK0152,甘肃板块,22222.54,-0.41,-2829129216.0,-2.8,-648478832.0,-0.64,-2180650384.0,-2.16,17856256.0,0.02,2811272704.0,2.78,方大炭素,600516,1
BK0161,辽宁板块,22276.03,-3.86,-3339651536.0,-2.42,-1326013648.0,-0.96,-2013637888.0,-1.46,816712704.0,0.59,2058054144.0,1.49,拓荆科技,688072,1
BK0171,云南板块,20532.19,-2.16,-3944218752.0,-2.33,-2835157120.0,-1.67,-1109061632.0,-0.66,947441920.0,0.56,2969077504.0,1.75,云铝股份,000807,0
BK0173,贵州板块,33379.99,-2.96,-4313320320.0,-4.99,-1780477328.0,-2.06,-2532842992.0,-2.93,3158536192.0,3.66,1070950720.0,1.24,红星发展,600367,1
