代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),10日主力净流入最大股,最大股代码,最大股市场标识
BK1270,专业连锁Ⅱ,1585.67,-5.92,-726667882.0,-3.73,-552652159.0,-2.84,-174015723.0,-0.89,238639701.0,1.23,488028178.0,2.51,天音控股,000829,0
BK1244,小家电,2464.74,-5.1,-735208576.0,-3.36,-496659011.0,-2.27,-238549565.0,-1.09,262586382.0,1.2,465899156.0,2.13,莱克电气,603355,1
BK0726,工程咨询服务Ⅱ,884.09,-3.43,-749628911.0,-1.21,-28515135.0,-0.05,-721113776.0,-1.16,282141344.0,0.45,415404448.0,0.67,华建集团,600629,1
BK1256,农产品加工,2569.74,-2.29,-784535166.0,-2.49,-409192829.0,-1.3,-375342337.0,-1.19,410361316.0,1.3,241742481.0,0.77,华资实业,600191,1
BK0421,铁路公路,9091.26,-2.54,-786564823.0,-1.64,-136779479.0,-0.29,-649785344.0,-1.35,53290224.0,0.11,733274640.0,1.53,富临运业,002357,0
BK1266,文娱用品,3819.24,-4.98,-863703298.0,-2.85,-389912942.0,-1.29,-473790356.0,-1.56,291963881.0,0.96,571739437.0,1.88,珠江钢琴,002678,0
BK0484,贸易Ⅱ,11825.46,-3.45,-890476586.0,-3.51,-543465002.0,-2.14,-347011584.0,-1.37,48152960.0,0.19,849823184.0,3.35,*ST沪科,600608,1
BK1281,休闲食品,2308.42,-6.99,-918222742.0,-3.93,-222257929.0,-0.95,-695964813.0,-2.98,-57003417.0,-0.24,975226168.0,4.18,紫燕食品,603057,1
BK1226,普钢,1004.08,1.79,-926801389.0,-0.61,-184117474.0,-0.12,-742683915.0,-0.49,-982246970.0,-0.65,1909049006.0,1.26,包钢股份,600010,1
BK1230,航海装备Ⅱ,6480.78,4.54,-936141684.0,-0.54,-376716427.0,-0.22,-559425257.0,-0.32,126173349.0,0.07,809968217.0,0.47,中国船舶,600150,1
BK1267,造纸,2884.58,-0.79,-958835047.0,-1.87,-259011383.0,-0.51,-699823664.0,-1.37,-131602022.0,-0.26,1003643114.0,1.96,五洲特纸,605007,1
BK1224,纺织制造,2804.52,-4.67,-987334728.0,-2.39,-576759113.0,-1.4,-410575615.0,-0.99,120378838.0,0.29,861255234.0,2.09,联发股份,002394,0
BK1258,饲料,4020.12,-3.94,-989996539.0,-3.75,-612790626.0,-2.32,-377205913.0,-1.43,462745390.0,1.75,522778911.0,1.98,禾丰股份,603609,1
BK1043,专业服务,1584.87,-3.26,-1052888886.0,-2.15,-924929990.0,-1.89,-127958896.0,-0.26,487779840.0,1.0,477730752.0,0.98,信测标准,300938,0
BK0734,饰品,471.95,-7.05,-1070639395.0,-2.9,-197025747.0,-0.53,-873613648.0,-2.37,271548112.0,0.74,799091248.0,2.17,明牌珠宝,002574,0
BK1229,地面兵装Ⅱ,4854.8,5.43,-1108496207.0,-1.2,13516644.0,0.01,-1122012851.0,-1.21,-432290591.0,-0.47,1540786406.0,1.67,北方导航,600435,1
